# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Afu5g13725	Afu5g13725	Afu5g13725-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu5g13730	Afu5g13730	Afu5g13730-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g14845	Afu5g14845	Afu5g14845-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu5g14850	Afu5g14850	Afu5g14850-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g14860	Afu5g14860	Afu5g14860-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu5g14865	Afu5g14865	Afu5g14865-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu5g14870	Afu5g14870	Afu5g14870-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g01790	Afu6g01790	Afu6g01790-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu6g03460	Afu6g03460	Afu6g03460-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g03470	Afu6g03470	Afu6g03470-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g03480	Afu6g03480	Afu6g03480-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g03980	Afu6g03980	Afu6g03980-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g03990	Afu6g03990	Afu6g03990-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu6g04000	Afu6g04000	Afu6g04000-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g06510	Afu6g06510	Afu6g06510-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g06520	Afu6g06520	Afu6g06520-T	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Afu6g06530	Afu6g06530	Afu6g06530-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g06535	Afu6g06535	Afu6g06535-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g06850	Afu6g06850	Afu6g06850-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g06860	Afu6g06860	Afu6g06860-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g13460	Afu6g13460	Afu6g13460-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g13470	Afu6g13470	Afu6g13470-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g13480	Afu6g13480	Afu6g13480-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g13490	Afu6g13490	Afu6g13490-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu6g13500	Afu6g13500	Afu6g13500-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu6g14670	Afu6g14670	Afu6g14670-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g14690	Afu6g14690	Afu6g14690-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu6g14700	Afu6g14700	Afu6g14700-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g00090	Afu7g00090	Afu7g00090-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu7g01200	Afu7g01200	Afu7g01200-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g01210	Afu7g01210	Afu7g01210-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g01220	Afu7g01220	Afu7g01220-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Afu7g01230	Afu7g01230	Afu7g01230-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g01240	Afu7g01240	Afu7g01240-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g02210	Afu7g02210	Afu7g02210-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g02220	Afu7g02220	Afu7g02220-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g02230	Afu7g02230	Afu7g02230-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g02240	Afu7g02240	Afu7g02240-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g03950	Afu7g03950	Afu7g03950-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g03960	Afu7g03960	Afu7g03960-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g03970	Afu7g03970	Afu7g03970-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g03980	Afu7g03980	Afu7g03980-T	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Afu7g03990	Afu7g03990	Afu7g03990-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g04000	Afu7g04000	Afu7g04000-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g04010	Afu7g04010	Afu7g04010-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g05300	Afu7g05300	Afu7g05300-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Afu7g05310	Afu7g05310	Afu7g05310-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g05670	Afu7g05670	Afu7g05670-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g05680	Afu7g05680	Afu7g05680-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu7g05700	Afu7g05700	Afu7g05700-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu7g08240	Afu7g08240	Afu7g08240-T	protein_coding	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0
Afu7g08245	Afu7g08245	Afu7g08245-T	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
Afu7g08470	Afu7g08470	Afu7g08470-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu8g02255	Afu8g02255	Afu8g02255-T	rRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu8g02260	Afu8g02260	Afu8g02260-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
